,code,name,image,price,department
240,1447513,Sensodyne Toothpaste Extra Fresh 2 x 75ml ,/lulucommercewebservices/v2/medias/1447513-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w2Mzk2N3xpbWFnZS9qcGVnfGltYWdlcy9oMGMvaDFiL2gwMC85Mjg3MTYzMzE0MjA2LmpwZ3xlODI2YjVkZWJkYjk3NzI3NzE3NzYzYjgwYWRlNTAxOTQ0YzI5NDUwZDdkZWM3NzBlMmVlMDliYjY0MzY0NGNl,33.0,GROCERY
260,744259,Aquafresh Little Teeth Toothpaste 50ml,/lulucommercewebservices/v2/medias/744259-00001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMDU4MHxpbWFnZS9qcGVnfGltYWdlcy9oZmQvaDVkLzkxMTUwMjQxNjI4NDYuanBnfDE3ZGRhNDdiNGExMWYwMjUxYzBlMWI5NTNhMTk0MzIyNWNkMmJmOTkyYjc3MDdiMjQxNmRiMWEzZmFkNzE1ZDM,6.6,GROCERY
280,1317047,Colgate Max Fresh Spicy Gel Toothpaste 100ml,/lulucommercewebservices/v2/medias/1317047-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyODkzMXxpbWFnZS9qcGVnfGltYWdlcy9oYjEvaDkxL2gwMC85MjE0NzE4NzcxMjMwLmpwZ3wwZWMyNTFkZDlhMGQxM2FjMTdjZmUwNjk2ODUyYzZhNWQwNmY0Zjc5M2FlZWVkZjc2YjgzMDM3YmMzY2M1ZWVh,9.4,GROCERY
300,850013,Pearlie White Breath Spray Icy Mint 8.5 ml,/lulucommercewebservices/v2/medias/850013-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w0Mzg2fGltYWdlL2pwZWd8aW1hZ2VzL2hjYS9oZjgvOTExODQxNTg4MDIyMi5qcGd8Yjk0OGUwZTAxODYwM2E4ODNhNWYxYTYxNTJhZWRkNjliMWQxOTZhMTg2ZTk4MThiMTUyYmYyYjZhMDljZjYxYg,13.45,GROCERY
320,944050,Omron Ear Thermometer 520,/lulucommercewebservices/v2/medias/944050-01-New.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNTAyOXxpbWFnZS9qcGVnfGltYWdlcy9oMTcvaGRlLzkxMjI4MzAyODY4NzguanBnfDlkY2RkZDhhZjZmOTM3MDM3ZDdkY2ZiNmQ0YmYwNGYxZjU0NGRjNDVhZWYyNWQ3MGM2MDk3YzQ5NDkwZWRkOGE,199.0,ELECTRONICS
340,1403205,Signal Toothpaste Cavity Fighter 4 x 120ml,/lulucommercewebservices/v2/medias/1403205-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzNjM0N3xpbWFnZS9qcGVnfGltYWdlcy9oZmYvaGQ1L2gwMC85MzA1MDQzOTI3MDcwLmpwZ3xkNmI3NTJkMTRlMDYyNjE3ZGJlZDdlZDMzNGRjNDcyZWYwNjFiMWYyOTlkZmY1ZTU5NGZmYjdkNTcwMDM1NjE3,18.0,GROCERY
360,1002361,Oral-B Kids Stages Power Toothbrush Assorted Color,/lulucommercewebservices/v2/medias/1002361-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNDUwfGltYWdlL2pwZWd8aW1hZ2VzL2g1MC9oZTEvOTA3MjYwMjk3MjE5MC5qcGd8MzM0YWRlM2M0MjVhNjc1YmY3ODAxNTM0NDM4OGI4YTUyYzQ4YjcxN2ZiZGI4YTk3MDc3ODkwMjNhMDhhNzg0Mg,69.0,ELECTRONICS
380,1032875,Oral-B Pro-Expert Whitening Toothpaste 75ml,/lulucommercewebservices/v2/medias/1032875-0001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMTkyfGltYWdlL2pwZWd8aW1hZ2VzL2g3Ny9oOGYvOTA4MTQyMTUyOTExOC5qcGd8Yjg5YmI3YmQ0NGExNTFjNzI4NjViYTY3YzZjNDI1M2NhYWRmOTgwMWZmM2Y0Nzg2Y2M1YTg1NzM5OTQ0OWU2YQ,20.2,GROCERY
400,1673054,Smart Girls Get More Bronzing Powder Duo For Face And Body 01 Warm Bronze 1pc,/lulucommercewebservices/v2/medias/1673054-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjY3NXxpbWFnZS9qcGVnfGltYWdlcy9oZjAvaGJhL2gwMC85MzU2MTQ5MDk2NDc4LmpwZ3w3MDZmMjNmZmYxMmQ1NmQzNzk4YWNhMjIwZWRhNGQxOGMyNzFlNjgzMzRiNTg0MGVmMzk1YmVkYjUwMDcyYzA4,37.0,FASHION
420,1672462,Smart Girls Get More Rich Color Matte Lipstick Toffee 02 1pc,/lulucommercewebservices/v2/medias/1672462-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxOTU0NXxpbWFnZS9qcGVnfGltYWdlcy9oYzYvaDdlL2gwMC85MzU2MTIxODMzNTAyLmpwZ3wzNzdmZTNhMGM4ZTliZmYzYmMyOWYxYmFmMTA4MmQ3ODk1MjM0ZWI5MjE3MzZiYWI3MzgwZjljMTNjZTMyYjVk,30.0,FASHION
